transcript,summary
project manager introduced upcoming project team member team member participated exercise drew favorite animal discussed liked animal project manager talked project finance selling price team discussed various feature consider making remote industrial designer work working design remote user interface designer work technical function remote marketing executive work requirement remote fulfill remote sell euro remote sold international scale production cost exceed euro whether remote used exclusively television,project manager introduced upcoming project team member team member participated exercise drew favorite animal discussed liked animal project manager talked project finance selling price team discussed various feature consider making remote industrial designer work working design remote user interface designer work technical function remote marketing executive work requirement remote fulfill remote sell euro remote sold international scale production cost exceed euro whether remote used exclusively television
project manager briefed team new requirement consider designing remote user interface designer presented two existing product discussed wrong product team discussed create remote include problem present existing product presented interface specialist marketing expert presented consumer preference requirement team discussed target demographic whether include speech recognition product industrial designer discussed interior working remote team discussed various option component energy source team discussed feature include remote could figure categorize industrial designer work component concept user interface designer work user interface marketing expert work trend watching team work teletext remote control television corporate color design must incorporated design remote remote button following function channel volume entering channel number remote look good easy use target demographic people aged fifteen thirty five remote use infrared sensor remote use regular battery categorize function remote implement categorization function design remote defining target demographic whether include speech recognition feature remote incorporate advanced function remote keeping design usability remote simple,project manager briefed team new requirement consider designing remote user interface designer presented two existing product discussed wrong product team discussed create remote include problem present existing product presented interface specialist marketing expert presented consumer preference requirement team discussed target demographic whether include speech recognition product industrial designer discussed interior working remote team discussed various option component energy source team discussed feature include remote could figure categorize industrial designer work component concept user interface designer work user interface marketing expert work trend watching team work teletext remote control television corporate color design must incorporated design remote remote button following function channel volume entering channel number remote look good easy use target demographic people aged fifteen thirty five remote use infrared sensor remote use regular battery categorize function remote implement categorization function design remote defining target demographic whether include speech recognition feature remote incorporate advanced function remote keeping design usability remote simple project manager briefed team new requirement consider designing remote user interface designer presented two existing product discussed wrong product team discussed create remote include problem present existing product presented interface specialist marketing expert presented consumer preference requirement team discussed target demographic whether include speech recognition product industrial designer discussed interior working remote team discussed various option component energy source team discussed feature include remote could figure categorize industrial designer work component concept user interface designer work user interface marketing expert work trend watching team work teletext remote control television corporate color design must incorporated design remote remote button following function channel volume entering channel number remote look good easy use target demographic people aged fifteen thirty five remote use infrared sensor remote use regular battery categorize function remote implement categorization function design remote defining target demographic whether include speech recognition feature remote incorporate advanced function remote keeping design usability remote simple project manager briefed team new requirement consider designing remote user interface designer presented two existing product discussed wrong product team discussed create remote include problem present existing product presented interface specialist marketing expert presented consumer preference requirement team discussed target demographic whether include speech recognition product industrial designer discussed interior working remote team discussed various option component energy source team discussed feature include remote could figure categorize industrial designer work component concept user interface designer work user interface marketing expert work trend watching team work teletext remote control television corporate color design must incorporated design remote remote button following function channel volume entering channel number remote look good easy use target demographic people aged fifteen thirty five remote use infrared sensor remote use regular battery categorize function remote implement categorization function design remote defining target demographic whether include speech recognition feature remote incorporate advanced function remote keeping design usability remote simple
project manager recapped decision made previous meeting marketing expert discussed finding trend watching report stressing need product fancy look feel technologically innovative easy use incorporates aspect fruit vegetable design interface specialist presented research appearance current remote concluding current remote generally unappealing term look usability interface specialist presented idea remedy unappealing aspect current remote team design also incorporate corporate color scheme design industrial designer presented option material component battery discussed restriction involved using certain material team discussed option shape color scheme remote well component battery material use team member design prototype remote remote curvy remote shaped like snowman remote talkback function remote jog dial material used plastic rubber case soft fruitlike feel remote lcd display remote kinetic battery remote rubber button sort battery use incorporate fruit vegetable theme corporate color soft material remote shape remote whether remote talkback function whether lcd display remote case look like whether include jog dial remote,project manager recapped decision made previous meeting marketing expert discussed finding trend watching report stressing need product fancy look feel technologically innovative easy use incorporates aspect fruit vegetable design interface specialist presented research appearance current remote concluding current remote generally unappealing term look usability interface specialist presented idea remedy unappealing aspect current remote team design also incorporate corporate color scheme design industrial designer presented option material component battery discussed restriction involved using certain material team discussed option shape color scheme remote well component battery material use team member design prototype remote remote curvy remote shaped like snowman remote talkback function remote jog dial material used plastic rubber case soft fruitlike feel remote lcd display remote kinetic battery remote rubber button sort battery use incorporate fruit vegetable theme corporate color soft material remote shape remote whether remote talkback function whether lcd display remote case look like whether include jog dial remote
project manager recapped decision made previous meeting two team member presented prototype discussed feature prototype contained team looked production cost remote decide feature retain lose order maintain target cost maintaining target cost team lose number feature originally wanted kinetic battery lcd display various color option team evaluated prototype basis appearance technological innovation spongy quality prototype fairly well evaluation team conducted evaluation project process team felt creativity hindered project budget inability discus project outside meeting structure task foster teamwork na remote contain kinetic battery remote regular chip case doublecurved remote push button remote feature lcd display display television instead remote button normal colored remote square button meeting target cost,project manager recapped decision made previous meeting two team member presented prototype discussed feature prototype contained team looked production cost remote decide feature retain lose order maintain target cost maintaining target cost team lose number feature originally wanted kinetic battery lcd display various color option team evaluated prototype basis appearance technological innovation spongy quality prototype fairly well evaluation team conducted evaluation project process team felt creativity hindered project budget inability discus project outside meeting structure task foster teamwork na remote contain kinetic battery remote regular chip case doublecurved remote push button remote feature lcd display display television instead remote button normal colored remote square button meeting target cost  project manager recapped decision made previous meeting two team member presented prototype discussed feature prototype contained team looked production cost remote decide feature retain lose order maintain target cost maintaining target cost team lose number feature originally wanted kinetic battery lcd display various color option team evaluated prototype basis appearance technological innovation spongy quality prototype fairly well evaluation team conducted evaluation project process team felt creativity hindered project budget inability discus project outside meeting structure task foster teamwork na remote contain kinetic battery remote regular chip case doublecurved remote push button remote feature lcd display display television instead remote button normal colored remote square button meeting target cost
team member introduced name role project project manager introduced upcoming project team team member participated exercise drew favorite animal discussed liked animal project manager discussed project finance selling price team discussed various feature consider producing remote gaming option lcd screen combining functionality control multiple device team decide user interface work remote cost euro produce remote sell euro remote feature ergonomic design putting lcd screen remote remote control multiple device joystick remote,team member introduced name role project project manager introduced upcoming project team team member participated exercise drew favorite animal discussed liked animal project manager discussed project finance selling price team discussed various feature consider producing remote gaming option lcd screen combining functionality control multiple device team decide user interface work remote cost euro produce remote sell euro remote feature ergonomic design putting lcd screen remote remote control multiple device joystick remote
project manager recapped event previous meeting briefed team new requirement team must follow designing remote marketing expert presented research consumer preference user requirement remote marketing expert also presented information regarding voice recognition demographic find feature appealing user interface designer described technical function remote stressed need user focused design industrial designer discussed interior working remote team discussed option include voice recognition lcd feature locate misplaced remote team briefly discussed aiming product along idea marketing product television manufacturer team also decided feature include product na team work teletext remote control television corporate image must recognizable remote remote power button remote small joystick remote lcd remote menu button instead okay button user push joystick remote beeping noise go user trying locate whether include voice recognition feature remote whether include lcd function joystick control function lcd control remote control multiple device sort component necessary feature allows user locate misplaced remote,project manager recapped event previous meeting briefed team new requirement team must follow designing remote marketing expert presented research consumer preference user requirement remote marketing expert also presented information regarding voice recognition demographic find feature appealing user interface designer described technical function remote stressed need user focused design industrial designer discussed interior working remote team discussed option include voice recognition lcd feature locate misplaced remote team briefly discussed aiming product along idea marketing product television manufacturer team also decided feature include product na team work teletext remote control television corporate image must recognizable remote remote power button remote small joystick remote lcd remote menu button instead okay button user push joystick remote beeping noise go user trying locate whether include voice recognition feature remote whether include lcd function joystick control function lcd control remote control multiple device sort component necessary feature allows user locate misplaced remote   project manager recapped event previous meeting briefed team new requirement team must follow designing remote marketing expert presented research consumer preference user requirement remote marketing expert also presented information regarding voice recognition demographic find feature appealing user interface designer described technical function remote stressed need user focused design industrial designer discussed interior working remote team discussed option include voice recognition lcd feature locate misplaced remote team briefly discussed aiming product along idea marketing product television manufacturer team also decided feature include product na team work teletext remote control television corporate image must recognizable remote remote power button remote small joystick remote lcd remote menu button instead okay button user push joystick remote beeping noise go user trying locate whether include voice recognition feature remote whether include lcd function joystick control function lcd control remote control multiple device sort component necessary feature allows user locate misplaced remote
project manager recapped decision made previous meeting industrial designer presented option battery material shape use case button chip user interface designer discussed create interface ergonomic remote conforms shape movement human hand well option user could connect remote computer order download program setting marketing expert discussed finding trendwatching report indicated need product look fancy technologically innovative easy use fruit vegetable theme spongy team discussed material component use color remote programming option remote industrial designer user interface designer work prototype marketing expert work product evaluation remote use lithium battery remote double curved design remote case made rubber remote yellow feature remote allows user use computer program remote according television model owns place company slogan remote,project manager recapped decision made previous meeting industrial designer presented option battery material shape use case button chip user interface designer discussed create interface ergonomic remote conforms shape movement human hand well option user could connect remote computer order download program setting marketing expert discussed finding trendwatching report indicated need product look fancy technologically innovative easy use fruit vegetable theme spongy team discussed material component use color remote programming option remote industrial designer user interface designer work prototype marketing expert work product evaluation remote use lithium battery remote double curved design remote case made rubber remote yellow feature remote allows user use computer program remote according television model owns place company slogan remote
project manager recapped decision made previous meeting two team member presented prototype remote team designing discussed ergonomic appearance feature marketing expert began lead team conducting evaluation prototype interrupted project manager shifted discussion examining production cost team product original specification team product proved expensive team discus feature lose maintain order meet target cost discussing cost team returned conducting product evaluation prototype evaluated basis ability located misplaced ease use appearance technological innovativeness sponginess overall prototype received average mark team evaluated project process finding happy overall quite displeased small budget na remote feature lcd case remote single curved remote designed special color remote made plastic instead rubber meeting target cost whether keep lcd whether double curved single curved case,project manager recapped decision made previous meeting two team member presented prototype remote team designing discussed ergonomic appearance feature marketing expert began lead team conducting evaluation prototype interrupted project manager shifted discussion examining production cost team product original specification team product proved expensive team discus feature lose maintain order meet target cost discussing cost team returned conducting product evaluation prototype evaluated basis ability located misplaced ease use appearance technological innovativeness sponginess overall prototype received average mark team evaluated project process finding happy overall quite displeased small budget na remote feature lcd case remote single curved remote designed special color remote made plastic instead rubber meeting target cost whether keep lcd whether double curved single curved case
project manager gave introduction goal project create trendy yet userfriendly remote presented longrange agenda whole project group introduced practiced meeting room tool drawing board project manager presented project budget projected price point projected profit aim project group began discussion experience remote control generate initial design idea making product userfriendly discussed grouping feature menu adding lcd display also discussed look various material may used design keeping company goal create fashionable electronics group prepare functional design meeting discus component function product na may enough money budget allow addition feature group discussed lcd display,project manager gave introduction goal project create trendy yet userfriendly remote presented longrange agenda whole project group introduced practiced meeting room tool drawing board project manager presented project budget projected price point projected profit aim project group began discussion experience remote control generate initial design idea making product userfriendly discussed grouping feature menu adding lcd display also discussed look various material may used design keeping company goal create fashionable electronics group prepare functional design meeting discus component function product na may enough money budget allow addition feature group discussed lcd display  project manager gave introduction goal project create trendy yet userfriendly remote presented longrange agenda whole project group introduced practiced meeting room tool drawing board project manager presented project budget projected price point projected profit aim project group began discussion experience remote control generate initial design idea making product userfriendly discussed grouping feature menu adding lcd display also discussed look various material may used design keeping company goal create fashionable electronics group prepare functional design meeting discus component function product na may enough money budget allow addition feature group discussed lcd display
industrial designer gave presentation basic function remote presented basic component remote share suggested smaller battery considered product design user interface designer presented idea making remote easytouse discussed using simple design hiding complicated feature main interface marketing expert presented finding lab study user requirement remote control device discussed user demand simple interface advanced technology project manager presented new requirement remote include teletext function used control television include company image design group narrowed target marketing group youth market discussed function remote including video plus capability rechargeable battery customer service plan suggested make remote seem userfriendly decided helpful manual within budget group discussed shelllike shape remote including several different casing option buyer marketing expert research consumer opinion instruction manual decided group produce one product design instead creating alternate design attempt accomodate different user preference marketing focused towards young businessclass buyer remote feature video plus capability seashelllike shape accomodate lcd display flip screen remote bundled docking station recharge remote battery userfriendly instruction manual multiple casing made available limitation budget restrict development feature several feature group wanted include may made simpler decrease cost,industrial designer gave presentation basic function remote presented basic component remote share suggested smaller battery considered product design user interface designer presented idea making remote easytouse discussed using simple design hiding complicated feature main interface marketing expert presented finding lab study user requirement remote control device discussed user demand simple interface advanced technology project manager presented new requirement remote include teletext function used control television include company image design group narrowed target marketing group youth market discussed function remote including video plus capability rechargeable battery customer service plan suggested make remote seem userfriendly decided helpful manual within budget group discussed shelllike shape remote including several different casing option buyer marketing expert research consumer opinion instruction manual decided group produce one product design instead creating alternate design attempt accomodate different user preference marketing focused towards young businessclass buyer remote feature video plus capability seashelllike shape accomodate lcd display flip screen remote bundled docking station recharge remote battery userfriendly instruction manual multiple casing made available limitation budget restrict development feature several feature group wanted include may made simpler decrease cost   industrial designer gave presentation basic function remote presented basic component remote share suggested smaller battery considered product design user interface designer presented idea making remote easytouse discussed using simple design hiding complicated feature main interface marketing expert presented finding lab study user requirement remote control device discussed user demand simple interface advanced technology project manager presented new requirement remote include teletext function used control television include company image design group narrowed target marketing group youth market discussed function remote including video plus capability rechargeable battery customer service plan suggested make remote seem userfriendly decided helpful manual within budget group discussed shelllike shape remote including several different casing option buyer marketing expert research consumer opinion instruction manual decided group produce one product design instead creating alternate design attempt accomodate different user preference marketing focused towards young businessclass buyer remote feature video plus capability seashelllike shape accomodate lcd display flip screen remote bundled docking station recharge remote battery userfriendly instruction manual multiple casing made available limitation budget restrict development feature several feature group wanted include may made simpler decrease cost
